route_name,route_service,direction,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,interstop_time_s,interstop_distance_m,fare
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0212GRD,1,OTC,-1.28614068,36.83066726,0,0,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0300EQT,2,Equity Ngara,-1.278382,36.830223,103,1339,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201SDP,3,Pangani Police Post,-1.27023,36.83564,128,1406,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211NPA,4,Pangani,-1.263776422,36.83761418,91,1036,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211MBS,5,Muthaiga Bus Stage,-1.25919,36.84238,90,765,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201UGC,6,Muthaiga Golf Club,-1.257732242,36.84297949,29,189,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211CID,7,CID,-1.2503,36.84658,109,951,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211SHP,8,Shark's Palace,-1.2406,36.84422,130,1266,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201ROC,9,Rock City,-1.2382,36.84398,39,272,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201WJY,10,Wanderjoy,-1.23113,36.84225,97,833,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211NIJ,11,Jikoni's,-1.229967534,36.84096158,31,191,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201RDS,12,Ridgeway Springs/Total,-1.229122281,36.84055924,21,116,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201NTR,13,Naivas Ciata Mall/Ridgeways Mall,-1.22525,36.83883,61,488,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201RND,14,Runda Junction,-1.22181,36.8361,63,503,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201GTO,15,Githogoro,-1.2186,36.83579,48,389,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KWH,16,Bypass/Kwaheri Flyover,-1.21506,36.83495,53,416,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211BLR,17,Balkan Sec School/Fourways,-1.212254226,36.833902,46,325,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211EVE,18,Evergreen,-1.209570497,36.8330732,43,332,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KSR,19,Kasarini/Paradise Lost,-1.20585,36.83201,56,447,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KSS,20,Brentwood Hotel,-1.20461,36.83264,26,151,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211AIC,21,Quickmart,-1.202403635,36.83386177,40,284,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211TND,22,Thindigwa,-1.2003,36.83501,38,264,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201MSH,23,Mushroom,-1.19582,36.83822,76,620,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201BRA,24,Barua,-1.19333,36.83991,46,344,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211VIN,25,Kwa Ng'ethe/Five Star,-1.189941287,36.83972239,50,366,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211TIR,26,Itara,-1.185085773,36.83874607,69,542,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211TIG,27,Kist Stage,-1.184202164,36.83860928,20,99,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211KST,28,KIST,-1.18345499,36.83846712,19,84,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KJN,29,Kirigiti Junction,-1.17902,36.83742,64,514,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0211AKW,30,Kwa DO/Kiambu Limuru Junction,-1.175043583,36.83417559,72,617,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KCB,31,KCB Kiambu,-1.172811985,36.82988405,68,632,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0201KSU,32,Kamindi Supermarket,-1.171696186,36.82808161,35,237,100
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Outbound,0213TMA,33,Kiambu Bus Terminus,-1.168987155,36.82630062,49,389,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0213TMA,1,Kiambu Bus Terminus,-1.168987155,36.82630062,0,0,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210KLI,2,Old Kiambu,-1.172275543,36.8265152,49,845,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210IHW,3,Kwa Ahindi,-1.17300126,36.82666808,18,81,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200TKL,4,Total Kiambu,-1.175120205,36.82907671,48,374,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210KDO,5,Kwa DO/Kiambu-Limuru Junction,-1.17498,36.83448,75,632,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200KJN,6,Kirigiti/Ruui,-1.17895,36.83748,70,562,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200KS2,7,KIST,-1.1835,36.83854,66,527,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200RTI,8,Itara,-1.185209155,36.8388319,30,190,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210HFI,9,Kwa Ng'ethe/Fivestar,-1.189877719,36.83962315,67,532,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210RBA,10,Barua,-1.193017423,36.83994234,48,366,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200MSH,11,Mushroom,-1.19579,36.83836,48,370,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200TND,12,Thindigwa,-1.19987,36.83525,72,581,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210AIK,13,Kasarini,-1.201480955,36.83447868,31,198,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210MQT,14,Quickmart,-1.20231244,36.83407098,21,111,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200DMD,15,Diamond Flats,-1.20399,36.83301,33,238,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0200BWD,16,Kasarini/Paradise Lost,-1.205964088,36.83213711,36,257,100
100,Kiambu-Kiambu Institute-Kiambu Road-Muthaiga Roundabout-Pangani-O.T.C,Inbound,0210NGE,17,Evergreen,-1.209211081,36.83307856,50,412,100
